,ID,Label,,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Class Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent to definedByProbe,Equivalent to definedByProcess,Equivalent to definedByDependence,Equivalent to definedByPurpose,Equivalent,Equivalent ,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range
,ID,A rdfs:label,,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,CLASS_TYPE,CI,CI,CI,CI,CI,EC definedByProbe some %,EC definedByProcess some %,EC definedByDependence some %,EC definedByPurpose some  %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE
,,,,,,,,,,,,,,,,,,,,,,,,,,
Base IRI,,http://purl.org/pan-science/PaNET/,,,,,,,,,,,,,,,,,,,,,,,,
Root name,,PaNET,,,,,,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,http://purl.org/pan-science/PaNET/PaNET01014,tender x-ray probe,,,,"Energy is between hard and soft x-ray, e.g. sulphur K edge",,owl:Class,,,,,,,tender_x-ray_probe,,,,,,,,,,,
1015,http://purl.org/pan-science/PaNET/PaNET01015,soft x-ray probe,,,,,,owl:Class,,,,,,,soft_x-ray_probe,,,,,,,,,,,
1016,http://purl.org/pan-science/PaNET/PaNET01016,thermal neutron probe,,,,,https://en.wikipedia.org/wiki/Neutron_temperature#Thermal,owl:Class,,,,,,,thermal_neutron_probe,,,,,,,,,,,
1017,http://purl.org/pan-science/PaNET/PaNET01017,cold neutron probe,,,,,,owl:Class,,,,,,,cold_neutron_probe,,,,,,,,,,,
1018,http://purl.org/pan-science/PaNET/PaNET01018,monochromatic neutron probe,,,,,,owl:Class,,,,,,,monochromatic_neutron_probe,,,,,,,,,,,
1019,http://purl.org/pan-science/PaNET/PaNET01019,pulsed neutron TOF probe,,,,,,owl:Class,,,,,,,,,,,('neutron probe' and 'pulsed probe'),,,,,,,
1020,http://purl.org/pan-science/PaNET/PaNET01020,elastic scattering,,,,,https://en.wikipedia.org/wiki/Elastic_scattering,owl:Class,,,,,,,,elastic_scattering,,,,,,,,,,
1021,http://purl.org/pan-science/PaNET/PaNET01021,diffuse scattering,,,,,,owl:Class,,,,,,,,diffuse_scattering,,,,,,,,,,
1022,http://purl.org/pan-science/PaNET/PaNET01022,diffraction,,,,,https://en.wikipedia.org/wiki/Diffraction,owl:Class,,,,,,,,diffraction_,,,,,,,,,,
1023,http://purl.org/pan-science/PaNET/PaNET01023,dynamical diffraction,,,,,https://en.wikipedia.org/wiki/Dynamical_theory_of_diffraction,owl:Class,,,,,,,,dynamical_diffraction,,,,,,,,,,
1024,http://purl.org/pan-science/PaNET/PaNET01024,coherent diffraction,,,,Probe is highly coherent over illuminated sample,,owl:Class,,,,,,,,coherent_diffraction,,,,,,,,,,
1025,http://purl.org/pan-science/PaNET/PaNET01025,reference beam,,,,e.g. holography,https://en.wikipedia.org/wiki/Reference_beam,owl:Class,,,,,,,,reference_beam,,,,,,,,,,
1026,http://purl.org/pan-science/PaNET/PaNET01026,atomic scale diffraction,,,,essential diffracting structure(s),,owl:Class,subclass,diffraction,,,,,,,,,,,,,,,,
1027,http://purl.org/pan-science/PaNET/PaNET01027,atomic scale diffraction 3D volume,,,,,,owl:Class,subclass,atomic scale diffraction,,,,,,,,,,,,,,,,
1028,http://purl.org/pan-science/PaNET/PaNET01028,atomic scale diffraction 3D volume 3D periodic,,,,,,owl:Class,subclass,atomic scale diffraction 3D volume,,,,,,,,,,,,,,,,
1029,http://purl.org/pan-science/PaNET/PaNET01029,single crystal diffraction,,,,,,owl:Class,subclass,atomic scale diffraction 3D volume 3D periodic,,,,,,,,,,,,,,,,
1030,http://purl.org/pan-science/PaNET/PaNET01030,powder diffraction,,,,,https://en.wikipedia.org/wiki/Powder_diffraction,owl:Class,subclass,atomic scale diffraction 3D volume 3D periodic,,,,,,,,,,,,,,,,
1031,http://purl.org/pan-science/PaNET/PaNET01031,atomic scale diffraction 2D surface or film,,,,,,owl:Class,subclass,atomic scale diffraction,,,,,,,,,,,,,,,,
1032,http://purl.org/pan-science/PaNET/PaNET01032,micro scale diffraction,,,,,,owl:Class,subclass,diffraction,,,,,,,,,,,,,,,,
1033,http://purl.org/pan-science/PaNET/PaNET01033,incoherent scattering,,,,,https://en.wikipedia.org/wiki/Incoherent_scatter,owl:Class,,,,,,,,incoherent_scattering,,,,,,,,,,
1034,http://purl.org/pan-science/PaNET/PaNET01034,inelastic scattering,,,,,https://en.wikipedia.org/wiki/Inelastic_scattering,owl:Class,,,,,,,,inelastic_scattering,,,,,,,,,,
1035,http://purl.org/pan-science/PaNET/PaNET01035,quasielastic scattering,,,,,https://en.wikipedia.org/wiki/Quasielastic_neutron_scattering,owl:Class,,,,,,,,quasielastic_scattering,,,,,,,,,,
1036,http://purl.org/pan-science/PaNET/PaNET01036,high momentum transfer scattering,,,,,,owl:Class,,,,,,,,high_momentum_transfer_scattering,,,,,,,,,,
1037,http://purl.org/pan-science/PaNET/PaNET01037,low momentum transfer scattering,,,,,,owl:Class,,,,,,,,low_momentum_transfer_scattering,,,,,,,,,,
1038,http://purl.org/pan-science/PaNET/PaNET01038,ultra low momentum transfer scattering,,,,,,owl:Class,,,,,,,,ultra_low_momentum_transfer_scattering,,,,,,,,,,
1039,http://purl.org/pan-science/PaNET/PaNET01039,low surface momentum transfer scattering,,,,,,owl:Class,,,,,,,,low_surface_momentum_transfer_scattering,,,,,,,,,,
1040,http://purl.org/pan-science/PaNET/PaNET01040,high momentum transfer resolution scattering,,,,,,owl:Class,,,,,,,,high_momentum_transfer_resolution_scattering,,,,,,,,,,
1041,http://purl.org/pan-science/PaNET/PaNET01041,coherent emission technique,,,,,,owl:Class,,,,,,,,coherent_emission_technique,,,,,,,,,,
1042,http://purl.org/pan-science/PaNET/PaNET01042,high energy resolution emission technique,,,,,,owl:Class,,,,,,,,high_energy_resolution_emission_technique,,,,,,,,,,
1043,http://purl.org/pan-science/PaNET/PaNET01043,photon emission technique,,,,,,owl:Class,,,,,,,,photon_emission_technique,,,,,,,,,,
1044,http://purl.org/pan-science/PaNET/PaNET01044,visible photon emission technique,,,,,,owl:Class,,,,,,,,visible_photon_emission_technique,,,,,,,,,,
1045,http://purl.org/pan-science/PaNET/PaNET01045,x-ray emission technique,,,,,,owl:Class,,,,,,,,x-ray_emission_technique,,,,,,,,,,
1046,http://purl.org/pan-science/PaNET/PaNET01046,gamma-ray emission technique,,,,,,owl:Class,,,,,,,,gamma-ray_emission_technique,,,,,,,,,,
1047,http://purl.org/pan-science/PaNET/PaNET01047,electron emission technique,,,,,https://en.wikipedia.org/wiki/Electron_emission,owl:Class,,,,,,,,electron_emission_technique,,,,,,,,,,
1048,http://purl.org/pan-science/PaNET/PaNET01048,ion emission technique,,,,,,owl:Class,,,,,,,,ion_emission_technique,,,,,,,,,,
